"AFRAMER 20","10516","2048","0","1","0","2","3"
"PSY 1900","10518","4016","5","12","15","14","6"
"FRSEMR 21o","10524","7584","0","0","1","2","4"
"ARABIC 133","10527","4747","0","2","2","3","1"
"APPHY 225","10532","5298","0","1","6","8","8"
"SOCIOL 206","10536","9026","0","0","2","4","0"
"PSY 2190","10537","2529","0","0","1","2","1"
"E-PSCI 161","10540","1854","0","0","0","2","1"
"GREEK H","10542","6323","0","1","1","0","2"
"SOC-STD 98fu","10544","7432","0","0","0","0","8"
"PSY 15","10549","4760","0","2","5","40","55"
"MCB 131","10551","9868","0","2","3","7","3"
"PHIL 158","10555","45486","0","0","0","1","1"
"HAA 175k","10556","6910","0","1","1","8","3"
"HISTSCI 212","10559","0500","0","0","0","0","5"
"ISLAMCIV 145","10560","0292","0","0","0","4","3"
"HISTSCI 153","10561","1409","0","1","3","5","7"
"VES 270","10562","1741","0","0","1","2","2"
"ECON 2070","10564","5647","0","0","0","2","1"
"STAT 115","10570","9776","0","2","4","5","4"
"OEB 54","10576","9326","0","0","1","3","2"
"MCB 225","10577","7646","0","0","3","2","0"
"E-PSCI 255r","10581","8807","0","0","1","1","2"
"PHYSCI 2","10582","6053","7","11","23","15","6"
"CELLBIO 226","10585","8747","0","0","0","5","0"
"APPHY 299r","10593","2103","0","0","1","1","4"
"VES 41a","10595","0705","0","0","3","1","5"
"PSY 975","10596","9063","0","0","0","3","5"
"PERSIAN A","10600","8143","0","3","3","5","1"
"MUSIC Bhf","10601","3045","0","3","2","1","3"
"HLTHPOL 2000","10602","4522","0","0","3","2","2"
"HIST-LIT 97","10603","1148","0","0","0","2","8"
"PHIL 98hf","10607","5533","0","0","0","1","4"
"SLAVIC B","10609","3262","0","0","1","4","5"
"E-PSCI 210","10611","9146","0","0","1","2","5"
"ENG-SCI 209","10613","1194","0","0","0","0","0"
"ANTHRO 2000","10615","0363","0","0","1","1","3"
"ANTHRO 1640","10617","5844","0","2","1","4","12"
"HIST 2906","10620","0453","0","0","0","0","3"
"PHYSICS 285a","10624","8204","0","2","2","3","1"
"ITAL 141","10625","5328","0","0","0","0","4"
"ENG-SCI 128","10630","0359","0","0","0","0","4"
"VES 107","10631","7883","0","0","2","3","8"
"JAPAN 130a","10632","4855","0","0","0","7","11"
"MATH 55a","10634","4068","1","1","3","1","4"
"ECON 2810a","10635","4862","0","2","3","3","1"
"CHNSE Ba","10636","4375","1","3","11","26","25"
"COMPSCI 50","10637","4949","1","3","14","36","44"
"CHEM 17","10638","5085","0","6","33","53","81"
"CHEM 30","10639","6587","1","1","7","17","27"
"APMTH 21a","10641","6395","5","14","11","4","1"
"STAT 110","10645","0147","0","1","10","12","40"
"PHYSICS 253a","10646","8050","2","0","1","2","3"
"MCB 186","10647","2854","0","0","0","0","4"
"SOCIOL 296a","10648","67293","0","1","0","0","0"
"SOCIOL 209","10649","1198","0","1","5","0","1"
"PHYSICS 232","10650","4885","0","0","2","1","0"
"ASTRON 2","10656","2179","2","1","2","5","6"
"MUSIC 201a","10658","4975","0","3","4","0","0"
"FRSEMR 33x","10661","6673","0","0","0","1","6"
"FRSEMR 37z","10663","1725","2","0","2","1","5"
"KORHIST 253r","10666","0365","0","0","0","1","2"
"MUSIC 160r","10667","8026","0","0","0","2","1"
"BIOSTAT 244","10668","2140","0","1","0","1","0"
"HAA 275w","10680","8955","0","0","0","0","1"
"PHIL 155","10683","26883","0","0","0","0","3"
"GENETIC 228","10685","9840","0","0","1","2","3"
"PHYSICS 284","10688","4673","1","2","4","3","1"
"FRSEMR 31n","10689","4682","0","0","0","3","2"
"GERMAN 288","10691","8467","0","0","1","1","0"
"ENGLISH 282","10692","29256","0","0","0","0","1"
"ECON 2328","10694","9475","0","1","1","4","5"
"ENGLISH 294z","10696","7277","0","1","4","1","2"
"HISTSCI 162","10697","7570","0","0","0","2","3"
"NEUROBIO 98r","10710","0494","0","0","1","0","0"
"APMTH 115","10711","1768","2","4","6","5","2"
"RELIGION 98a","10714","2832","0","0","1","1","3"
"PHYSICS 143a","10715","1050","1","0","5","4","0"
"MATH 1b","10716","1804","13","26","33","33","8"
"HIST-LIT 98r","10717","2766","0","0","0","2","7"
"SLAVIC Dr","10720","1096","0","0","0","1","1"
"PHYSICS 247r","10722","8665","0","1","2","0","0"
"GERMAN Dab","10723","1351","0","1","0","3","4"
"PSY 992","10724","4990","2","2","0","1","0"
"YIDDISH A","10725","4623","0","1","0","2","0"
"HIST-LIT 99","10727","5362","0","1","1","3","4"
"MODGRK A","10729","8604","0","0","0","0","2"
"VES 50","10730","4907","0","0","0","2","8"
"COMPSCI 222","10738","2493","0","0","3","6","4"
"PHIL 122","10740","9025","0","0","1","3","5"
"PHYSICS 262","10741","1157","0","5","6","5","3"
"AM-CIV 200","10743","3662","0","0","0","3","3"
"ECON 2140","10750","7210","1","0","3","11","5"
"PSY 18","10754","8560","0","2","6","6","9"
"PHYSICS 95","10755","2806","0","0","1","3","4"
"PHYSICS 251a","10756","2191","1","1","12","8","6"
"MATH 25a","10758","1525","0","0","3","12","14"
"ENG-SCI 202","10761","5080","0","0","1","2","7"
"ECON 975","10762","3281","0","2","0","4","4"
"ECON 2110","10764","7213","7","6","4","2","0"
"ECON 2530a","10765","4537","0","1","1","4","4"
"CHNSE Bx","10766","7066","0","1","6","10","16"
"LATIN Bam","10767","7123","0","0","0","3","2"
"ANTHRO 98xa","10769","2959","0","0","2","2","1"
"SPANSH Ax","10771","5318","1","1","2","2","1"
"SLAVIC 113","10774","0955","1","0","1","1","6"
"FRSEMR 21s","10775","2067","0","1","2","0","1"
"VIETNAM Ba","10777","3873","0","2","0","1","3"
"GOV 1100","10779","7687","0","0","1","3","1"
"GERMAN 65","10780","2678","0","0","1","1","1"
"MATH 121","10785","7009","0","3","3","4","0"
"GOV 2105","10786","0154","0","0","1","3","0"
"ECON 1640","10787","7875","0","0","1","6","7"
"JAPNHIST 115","10788","5756","0","0","0","0","6"
"SOCIOL 203a","10789","3315","0","2","2","6","3"
"ECON 2723","10790","2847","0","0","0","1","6"
"FRENCH 70b","10791","6720","0","1","2","10","2"
"ANTHRO 1010","10793","8727","0","0","1","10","3"
"GERMAN 62","10797","2201","0","0","0","3","6"
"FRSEMR 25w","10799","0049","0","0","0","1","5"
"ANTHRO 1850","10800","1686","0","0","2","3","2"
"FRSEMR 25k","10801","3913","0","0","3","1","2"
"FOLKMYTH 114","10803","7982","0","0","1","1","0"
"CLASARCH 100","10805","3132","0","0","1","3","4"
"ESPP 78","10807","3613","0","4","6","6","0"
"FRSEMR 22z","10808","8839","1","3","1","2","2"
"SOCIOL 243","10810","2022","0","0","1","2","1"
"HEB 1418","10812","1437","0","0","0","0","4"
"GOV 1368","10818","8971","2","4","11","21","8"
"PSY 1950","10819","4889","1","0","0","4","6"
"IRANIAN 209b","10825","18317","0","0","0","2","2"
"FRSEMR 49n","10826","9965","0","0","2","5","0"
"PHIL 161","10831","7414","0","0","0","6","0"
"ENG-SCI 249","10836","3145","0","0","1","1","0"
"ECON 980b","10839","1581","0","0","1","5","4"
"STAT 231","10844","7537","0","1","5","4","0"
"ENGLISH Ckr","10849","6781","0","0","1","2","5"
"OEB 253r","10851","8104","0","0","0","0","1"
"VES 51a","10852","7526","0","0","1","2","3"
"PHYSICS 15c","10855","8676","2","6","5","2","0"
"HIST-LIT 91r","10857","0334","0","0","2","2","3"
"LATIN Aab","10862","7111","0","1","0","1","3"
"SLAVIC 103","10866","8638","0","0","0","1","6"
"STAT 100","10867","3808","3","10","25","24","16"
"PSY 2530r","10868","2364","0","0","0","0","2"
"AFRAMER 90r","10869","7010","2","1","5","8","5"
"PSY 2570r","10872","4440","0","1","0","0","2"
"MODGRK B","10877","8187","0","0","1","0","1"
"SWAHILI A","10881","1878","0","0","1","5","2"
"COMPSCI 226r","10884","1749","2","3","1","13","7"
"APMTH 205","10885","1370","0","0","3","6","6"
"ASTRON 251","10887","5381","2","3","2","0","0"
"HAA 242","10888","7561","0","0","1","0","1"
"OEB 275r","10889","5004","0","0","1","2","1"
"BIOSTAT 235","10891","7549","0","2","1","1","1"
"JAPAN 140a","10897","3688","0","0","1","4","3"
"PSY 13","10898","8706","0","0","3","0","7"
"PHYSICS 16","10899","2019","1","4","5","10","23"
"NEUROBIO 220","10901","2141","0","0","0","3","5"
"MATH 213a","10902","1621","0","0","0","2","13"
"ENG-SCI 181","10906","3889","1","0","5","5","4"
"ECON 2610","10907","3766","0","1","2","2","1"
"CHNSE 106a","10908","1185","0","0","0","4","9"
"KOREAN 130a","10909","2071","0","0","1","2","6"
"GREEK Ba","10910","4696","0","0","3","4","2"
"CHEM 242","10911","2971","1","1","3","2","0"
"MCB 52","10912","1938","6","39","44","48","28"
"MCB 169","10913","2518","0","0","9","7","24"
"APMTH 201","10915","3241","0","1","6","10","13"
"PHIL 3","10917","1996","1","0","3","9","8"
"SLAVIC Ac","10919","0496","1","0","0","3","2"
"STAT 210","10921","2487","4","1","3","2","1"
"STAT 104","10922","4582","0","5","22","41","31"
"MCB 115","10923","8703","0","1","2","2","0"
"ENG-SCI 139","10925","0994","0","0","2","4","2"
"CHNSE 150a","10927","5621","0","0","1","4","8"
"BIOSTAT 230","10928","6183","1","1","2","1","1"
"ECON 2010c","10930","4431","0","0","6","7","1"
"LING 130","10934","76462","1","2","3","2","0"
"FRSEMR 25p","10936","1838","0","0","0","6","4"
"STAT 135","10938","3451","1","3","4","4","2"
"ENG-SCI 207","10940","5993","0","0","3","3","1"
"ANE 100","10941","0702","0","1","1","2","0"
"ECON 1393","10946","6516","0","2","6","1","5"
"GOV 1780","10947","0272","0","2","7","9","2"
"ENG-SCI 222","10948","0696","0","1","1","3","3"
"EASTD 140","10950","0856","0","0","1","3","8"
"FRSEMR 26j","10952","7529","0","0","4","4","1"
"SOCIOL 165","10968","8272","0","0","4","10","5"
"ESPP 90a","10974","2189","0","0","6","5","2"
"KOREAN Bxa","10984","0120","0","0","0","1","2"
"ENGLISH Crr","10986","1893","0","0","0","1","9"
"NEC 98r","10989","2612","0","0","0","0","0"
"GOV 99r","10990","3652","3","4","14","11","2"
